species,eventDate,decimalLongitude,decimalLatitude
Bathylagus antarcticus,1991-01-28,-38.77,-53.52
Bathylagus antarcticus,1991-01-28,74.92,-66.5283
Bathylagus antarcticus,1991-01-28,-38.575,-53.491
Bathylagus antarcticus,1991-01-28,74.9193,-66.5287
Bathylagus antarcticus,1991-01-29,74.9233,-65.9033
Bathylagus antarcticus,1991-01-29,74.9067,-65.9033
Bathylagus antarcticus,1991-01-29,-38.742,-53.45
Bathylagus antarcticus,1991-01-29,-38.676,-53.571
Bathylagus antarcticus,1991-01-29,-38.75,-53.632
Bathylagus antarcticus,1991-01-29,74.9227,-65.9037
Bathylagus antarcticus,1991-01-30,74.8817,-64.9933
Bathylagus antarcticus,1991-01-30,74.9983,-65.41
Bathylagus antarcticus,1991-01-30,-38.718,-53.43
Bathylagus antarcticus,1991-01-30,-38.704,-53.399
Bathylagus antarcticus,1991-01-30,-38.702,-53.581
Bathylagus antarcticus,1991-01-30,-38.636,-53.613
Bathylagus antarcticus,1991-02-10,69.0167,-65.5233
Bathylagus antarcticus,1991-02-11,69.1017,-66.5183
Bathylagus antarcticus,1991-02-14,-39.398,-54.786
Bathylagus antarcticus,1991-02-14,-39.239,-54.757
Bathylagus antarcticus,1991-02-15,-39.368,-54.763
Bathylagus antarcticus,1991-03-10,5.14,-69.98333
Bathylagus antarcticus,1991-03-10,5.14,-69.9817
Bathylagus antarcticus,1992-02-03,148.783,-47.216
Bathylagus antarcticus,1992-02-03,148.78333,-47.21667
Bathylagus antarcticus,1994-10-24,-58.13222,-61.43111
Bathylagus antarcticus,1994-10-24,-59.935,-61.72389
Bathylagus antarcticus,1994-10-26,-58.00389,-61.65472
Bathylagus antarcticus,1994-10-27,-56.5,-60.95
Bathylagus antarcticus,1994-10-27,-56.36806,-61.04889
Bathylagus antarcticus,1994-10-27,-56.51583,-60.96417
Bathylagus antarcticus,1994-10-29,-57.59333,-61.44889
Bathylagus antarcticus,1994-11-03,-57.07972,-61.40111
Bathylagus antarcticus,1994-11-03,-57.04389,-61.30639
Bathylagus antarcticus,1994-11-04,-57.15639,-61.35389
Bathylagus antarcticus,1994-11-05,-57.35861,-61.41111
Bathylagus antarcticus,1994-11-05,-56.54444,-61.10278
Bathylagus antarcticus,1995-01-21,-57.0088,-61.9997
Bathylagus antarcticus,1995-01-21,-56.5018,-62.0003
Bathylagus antarcticus,1995-01-21,-56.9925,-62.2458
Bathylagus antarcticus,1995-01-23,-55.3152,-61.5175
Bathylagus antarcticus,1995-01-25,-54.999,-61.4955
Bathylagus antarcticus,1995-01-25,-55.002,-61.7507
Bathylagus antarcticus,1995-01-28,-53.5007,-61.5035
Bathylagus antarcticus,1995-02-15,-53.5003,-59.9993
Bathylagus antarcticus,1995-02-15,-53.5022,-60.5003
Bathylagus antarcticus,1995-02-16,-54.0013,-61.4967
Bathylagus antarcticus,1995-02-17,-54.4955,-60.7507
Bathylagus antarcticus,1995-02-17,-54.4892,-60.0005
Bathylagus antarcticus,1995-02-18,-55.01,-61.0013
Bathylagus antarcticus,1995-02-18,-54.4937,-61.5015
Bathylagus antarcticus,1995-02-20,-55.3215,-61.5168
Bathylagus antarcticus,1995-02-20,-56.0072,-61.7475
Bathylagus antarcticus,1995-02-21,-56.4995,-61.5007
Bathylagus antarcticus,1995-02-22,-56.9878,-61.9977
Bathylagus antarcticus,1995-02-24,-57.499,-61.0002
Bathylagus antarcticus,1995-10-17,-48.24333,-62.80167
Bathylagus antarcticus,1996-01-24,-58.471,-61.5077
Bathylagus antarcticus,1996-01-30,-56.0945,-61.5004
Bathylagus antarcticus,1996-02-01,-22.5,-71
Bathylagus antarcticus,1996-02-14,-22.595,-73.60167
Bathylagus antarcticus,1996-02-23,-53.5181,-60.0067
Bathylagus antarcticus,1996-03-02,120.281,-63.251
Bathylagus antarcticus,1997-03-22,-55.0028,-61.2467
Bathylagus antarcticus,1998-01-01,-60.95,-64.015
Bathylagus antarcticus,1998-01-17,-57.4993,-59.999
Bathylagus antarcticus,1998-03-16,148.74,-47.16
Bathylagus antarcticus,1999-01-01,158,-54
Bathylagus antarcticus,1999-01-21,158.699,-54.758
Bathylagus antarcticus,1999-01-21,158.687,-54.755
Bathylagus antarcticus,1999-01-21,158.698,-54.732
Bathylagus antarcticus,1999-01-21,158.688,-54.75
Bathylagus antarcticus,1999-01-21,158.689,-54.778
Bathylagus antarcticus,1999-01-21,158.705,-54.735
Bathylagus antarcticus,1999-01-21,158.671,-54.795
Bathylagus antarcticus,1999-01-22,158.128,-54.8
Bathylagus antarcticus,1999-01-22,158.028,-54.765
Bathylagus antarcticus,1999-01-23,157.877,-54.748
Bathylagus antarcticus,1999-01-23,157.954,-54.876
Bathylagus antarcticus,1999-01-23,157.945,-54.794
